,Movie,Year,Duration,Rating,Metascore,Votes,Gross Total (Millions)
370,The Thin Red Line,1998,170,7.6,78,172780,36.4
371,Mad Max 2: The Road Warrior,1981,96,7.6,77,166636,12.47
372,Life of Pi,2012,127,7.9,79,580920,124.99
373,Donnie Brasco,1997,127,7.7,76,279506,41.91
374,Midnight Cowboy,1969,113,7.8,79,101175,44.79
375,3 Idiots,2009,170,8.4,67,344700,6.53
376,The Great Escape,1963,172,8.2,86,224857,12.1
377,Grave of the Fireflies,1988,89,8.5,94,235461,
378,The Butterfly Effect,2004,113,7.6,30,451606,57.94
379,As Good as It Gets,1997,139,7.7,67,275861,148.48
380,The Little Mermaid,1989,83,7.6,88,237794,111.54
381,Creed,2015,133,7.6,82,247781,109.77
382,Million Dollar Baby,2004,132,8.1,86,636240,100.49
383,The Warriors,1979,92,7.6,65,93912,22.49
384,Walk the Line,2005,136,7.8,72,234301,119.52
385,The Apartment,1960,125,8.3,94,164485,18.6
386,Blazing Saddles,1974,93,7.7,73,126036,119.5
387,Blow,2001,124,7.6,52,240787,52.99
388,Deliverance,1972,109,7.7,80,98783,7.06
389,The Sandlot,1993,101,7.8,55,78992,32.42
390,Falling Down,1993,113,7.6,56,171718,40.9
391,Breakfast at Tiffany's,1961,115,7.6,76,166619,
392,How to Train Your Dragon,2010,98,8.1,75,667151,217.58
393,Who Framed Roger Rabbit,1988,104,7.7,83,182055,156.45
394,Edward Scissorhands,1990,105,7.9,74,447502,56.36
395,North by Northwest,1959,136,8.3,98,299368,13.28
396,Aladdin,1992,90,8,86,373976,217.35
397,Togo,2019,113,8,69,37645,
398,Dog Day Afternoon,1975,125,8,86,235760,50
399,Vertigo,1958,128,8.3,100,364598,3.2
400,Zombieland,2009,88,7.6,73,520199,75.59
401,The Pursuit of Happyness,2006,117,8,64,449182,163.57
402,The Count of Monte Cristo,2002,131,7.8,61,129053,54.23
403,Gran Torino,2008,116,8.1,72,720736,148.1
404,Toy Story 3,2010,103,8.2,92,757409,415
405,The Florida Project,2017,111,7.6,92,95282,5.9
406,Barry Lyndon,1975,185,8.1,89,149956,
407,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76,152948,78.76
408,Malcolm X,1992,202,7.7,73,85882,48.17
409,Lawrence of Arabia,1962,228,8.3,100,268239,44.82
410,Fear and Loathing in Las Vegas,1998,118,7.6,41,259824,10.68
411,Glory,1989,122,7.8,78,122885,26.83
412,The Elephant Man,1980,124,8.1,78,220222,
413,"Paris, Texas",1984,145,8.1,78,91292,2.18
414,Do the Right Thing,1989,120,8,93,89501,27.55
415,"Crouching Tiger, Hidden Dragon",2000,120,7.8,94,253308,128.08
416,Rosemary's Baby,1968,137,8,96,193771,
417,Beauty and the Beast,1991,84,8,95,417299,218.97
418,Monty Python and the Holy Grail,1975,91,8.2,91,501074,1.23
419,My Neighbor Totoro,1988,86,8.2,86,291488,1.11
420,Eastern Promises,2007,100,7.6,82,227837,17.11
421,Gravity,2013,91,7.7,96,769393,274.09
422,After Hours,1985,97,7.7,90,59692,10.6
423,A Silent Voice: The Movie,2016,130,8.1,78,47887,
424,The Secret in Their Eyes,2009,129,8.2,80,193330,6.39
425,Akira,1988,124,8,,165029,0.55
426,The Bourne Supremacy,2004,108,7.7,73,434959,176.24
427,500 Days of Summer,2009,95,7.7,76,472383,32.39
428,The Magnificent Seven,1960,128,7.7,74,87761,4.91
429,Carlito's Way,1993,144,7.9,65,201087,36.95
430,In Bruges,2008,107,7.9,67,390456,7.76
431,Dangal,2016,161,8.4,,156661,12.39
432,This Is Spinal Tap,1984,82,7.9,92,128850,0.19
433,The Fault in Our Stars,2014,126,7.7,69,344436,124.87
434,In the Mood for Love,2000,98,8.1,85,124480,2.73
435,The Fugitive,1993,130,7.8,87,267779,183.88
436,Mr. Nobody,2009,141,7.8,63,216508,0
